.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
615A0_S37_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
615A14_S38_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
615A14_S38_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
615B0_S39_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
615B0_S39_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
615B14_S40_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
615B14_S40_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
621A0_S57_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
621A0_S57_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
621A14_S58_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
621A14_S58_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
621B0_S59_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
621B0_S59_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
621B14_S60_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
621B14_S60_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
622A0_S61_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
622A0_S61_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
622A14_S62_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
622A14_S62_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
622B0_S63_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
622B0_S63_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
622B14_S64_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
622B14_S64_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
639A0_S81_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
639A0_S81_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
639B14_S84_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
639B14_S84_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
640A0_S85_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
640A0_S85_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
640A14_S86_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
640A14_S86_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
640B0_S87_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
640B0_S87_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
640B14_S88_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
640B14_S88_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
644A14_S90_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
644A14_S90_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
644B0_S91_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
644B0_S91_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
644B14_S92_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
644B14_S92_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
651A0_S105_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
651A0_S105_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
651A14_S106_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
651A14_S106_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
651B0_S107_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
651B0_S107_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
651B14_S108_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
651B14_S108_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
653A0_S113_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
653A0_S113_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
653A14_S114_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
653A14_S114_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
653B0_S115_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
653B0_S115_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
653B14_S116_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
653B14_S116_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
655A14_S126_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
655A14_S126_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
655B0_S127_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
655B0_S127_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
655B14_S128_L001_R1_001	1	0.5	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
655B14_S128_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
656A0_S117_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
656A0_S117_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
656A14_S118_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
656A14_S118_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
656B0_S119_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
656B0_S119_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
656B14_S120_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
656B14_S120_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
676A0_S133_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
676A0_S133_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
676A14_S134_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
676A14_S134_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
676B0_S135_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
676B0_S135_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
676B14_S136_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
676B14_S136_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
678A0_S141_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
678A0_S141_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
678A14_S142_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
678A14_S142_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
678B0_S143_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
678B0_S143_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
678B14_S144_L001_R1_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
678B14_S144_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
681A0_S153_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
681A0_S153_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
681A14_S154_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
681A14_S154_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
681B0_S155_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
681B0_S155_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
681B14_S156_L001_R1_001	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
681B14_S156_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
